idnum,lon,lat,dens.cvap.std,dens.work.std,popDens.std,prc.CarAccess.std,prc.ElNonReg.std,prc.disabled.std,prc.latino.std,prc.nonEngProf.std,prc.pov.std,prc.youth.std,rate.vbm.std,dens.poll.std,center_score,droppoff_score
338,-84.5434,33.56932,0.90881,0.98863,0.44042,0.41032,0.94254,0.6106,0.88918,0.75894,0.70035,0.6983,0.20565,0.94497,0.61575,0.60569
378,-84.56081,33.57639,0.90881,0.68928,0.67874,0.41032,0.94254,0.6106,0.88918,0.75894,0.70035,0.6983,0.21528,0.79002,0.59829,0.58514
388,-84.47403,33.57678,0.82224,0.81572,0.5517,0.38304,0.83801,0.60506,0.28009,0.37978,0.65888,0.67602,0.44262,0.98037,0.59834,0.59193
389,-84.46536,33.57682,0.82224,0.84642,0.67139,0.38304,0.83801,0.60506,0.28009,0.37978,0.65888,0.67602,0.5877,0.96816,0.61779,0.61139
420,-84.56086,33.58356,0.90881,0.89092,0.70649,0.41032,0.94254,0.6106,0.88918,0.75894,0.70035,0.6983,0.21528,0.77592,0.60103,0.591
421,-84.55218,33.5836,0.90881,0.87682,0.43276,0.41032,0.94254,0.6106,0.88918,0.75894,0.70035,0.6983,0.21528,0.78949,0.57815,0.56785
429,-84.48276,33.58391,0.82224,0.98552,0.53214,0.38304,0.83801,0.60506,0.28009,0.37978,0.65888,0.67602,0.44254,0.99492,0.59313,0.58916
430,-84.47408,33.58395,0.82224,0.98552,0.53214,0.38304,0.83801,0.60506,0.28009,0.37978,0.65888,0.67602,0.44254,0.99492,0.61011,0.60615
510,-84.48284,33.59824,0.67404,0.82831,0.74538,0.70005,0.0,0.63811,0.44929,0.49947,0.68231,0.76539,0.43898,0.99439,0.57341,0.59147
550,-84.47421,33.60543,0.67404,0.93314,0.75258,0.70005,0.0,0.63811,0.44929,0.49947,0.68231,0.76539,0.74568,0.98545,0.64547,0.66984
587,-84.48293,33.61256,0.67404,0.68928,0.65138,0.70005,0.0,0.63811,0.44929,0.49947,0.68231,0.76539,0.74576,0.99128,0.60414,0.62471
588,-84.47425,33.6126,0.67404,0.96164,0.46505,0.70005,0.0,0.63811,0.44929,0.49947,0.68231,0.76539,0.74666,0.76812,0.62269,0.65062
624,-84.47429,33.61976,0.67404,0.90381,0.41737,0.70005,0.0,0.63811,0.44929,0.49947,0.68231,0.76539,0.93746,0.88895,0.65058,0.6784
658,-84.4917,33.62685,0.1203,0.8396,0.58354,0.78366,0.0,0.94936,0.53707,0.57694,0.67609,0.54753,0.54821,0.87561,0.61135,0.63513
696,-84.4657,33.63412,0.30261,0.99576,0.0,0.91768,0.61681,0.88592,0.41639,0.31133,0.79541,0.47696,0.74977,0.00576,0.61247,0.62936
725,-84.49179,33.64117,0.44262,0.92943,0.86727,0.83778,0.99166,0.66646,0.22354,0.37492,0.73097,0.81102,0.40608,0.96316,0.63392,0.61721
728,-84.46574,33.64128,0.30261,0.99576,0.0,0.91768,0.61681,0.88592,0.41639,0.31133,0.79541,0.47696,0.74977,0.00576,0.61106,0.62795
757,-84.49184,33.64833,0.44262,0.92943,0.86727,0.83778,0.99166,0.66646,0.22354,0.37492,0.73097,0.81102,0.40608,0.96316,0.63223,0.61552
758,-84.48315,33.64837,0.30261,0.68928,0.88432,0.91768,0.61681,0.88592,0.41639,0.31133,0.79541,0.47696,0.88925,0.9953,0.68519,0.68634
759,-84.47447,33.6484,0.30261,0.90555,0.90092,0.91768,0.61681,0.88592,0.41639,0.31133,0.79541,0.47696,0.88099,0.01349,0.68534,0.69819
767,-84.40498,33.64867,0.54647,0.0,0.0,0.69004,0.96824,0.68261,0.93807,0.91897,0.47324,0.22862,0.85688,0.46778,0.59642,0.58939
